x_id,earthquake_id,provider,title,mag,depth,geojson,location_properties,rev,date_time,created_at,location_tz
65f970bc86e26cb6ccc54f22,TNaV9CsDliT8a,kandilli,ORENDERESI-AFSIN (KAHRAMANMARAS),1.3,5.0,,,,2024-03-19 07:44:17,1710830657,Europe/Istanbul
65f970bc86e26cb6ccc54f23,kBbwfqx8mR6JZ,kandilli,ADAOREN-DURSUNBEY (BALIKESIR),3.8,5.4,,,,2024-03-19 07:43:28,1710830608,Europe/Istanbul
65f970bc86e26cb6ccc54f24,SkVcVOhkSEgPv,kandilli,KARAGOL-CELIKHAN (ADIYAMAN),3.4,2.8,,,,2024-03-19 07:26:34,1710829594,Europe/Istanbul
65f970bc86e26cb6ccc54f25,LygCZDjHKk5Gr,kandilli,KOYCEGIZ (MUGLA),1.4,6.7,,,,2024-03-19 07:14:55,1710828895,Europe/Istanbul
65f970bc86e26cb6ccc54f26,389M0O_7q9Do9,kandilli,DURULDU-(MALATYA),3.2,5.6,,,,2024-03-19 07:03:51,1710828231,Europe/Istanbul
65f970bc86e26cb6ccc54f27,NjMULPLl0zax0,kandilli,GUMUSDOVEN-ELBISTAN (KAHRAMANMARAS),1.8,4.1,,,,2024-03-19 06:53:24,1710827604,Europe/Istanbul
65f970bc86e26cb6ccc54f28,aDD5YM6vV2_dQ,kandilli,OZCANLI-ELBISTAN (KAHRAMANMARAS),1.8,15.6,,,,2024-03-19 06:52:54,1710827574,Europe/Istanbul
65f970bc86e26cb6ccc54f29,xoAVhWeqOP1Uk,kandilli,ARMUTALAN-ELBISTAN (KAHRAMANMARAS),1.4,22.2,,,,2024-03-19 06:09:03,1710824943,Europe/Istanbul
65f970bc86e26cb6ccc54f2a,wxn907WUNSuW_,kandilli,KARACA-MARMARIS (MUGLA),0.9,4.1,,,,2024-03-19 05:52:13,1710823933,Europe/Istanbul
65f970bc86e26cb6ccc54f2b,HjkIAX5Y8YOuN,kandilli,KUMYAKA-MUDANYA (BURSA),0.8,7.4,,,REVIZE01   (2024.03.19 05:47:17),2024-03-19 05:47:17,1710823637,Europe/Istanbul
65f970bc86e26cb6ccc54f2c,Y0Ky5mQqiFYbI,kandilli,CICEKLI-ANDIRIN (KAHRAMANMARAS),1.4,5.4,,,,2024-03-19 05:20:08,1710822008,Europe/Istanbul
65f970bc86e26cb6ccc54f2d,6hNmKGFTp3mj0,kandilli,KURUDERE-DARENDE (MALATYA),1.3,8.1,,,,2024-03-19 04:57:54,1710820674,Europe/Istanbul
65f970bc86e26cb6ccc54f2e,zCtesPnemWuPB,kandilli,KUCUKHACIBEY-ELDIVAN (CANKIRI),1.8,17.5,,,,2024-03-19 04:56:22,1710820582,Europe/Istanbul
65f970bc86e26cb6ccc54f2f,A_y6pAuRhiv3e,kandilli,KIRLANGIC-YESILYURT (MALATYA),1.2,22.6,,,,2024-03-19 04:52:50,1710820370,Europe/Istanbul
65f970bc86e26cb6ccc54f30,WP6DYmBNO4yVf,kandilli,BAHTILLI-SIMAV (KUTAHYA),0.7,4.8,,,,2024-03-19 04:25:23,1710818723,Europe/Istanbul
65f970bc86e26cb6ccc54f31,h_KhuOPOR3oC1,kandilli,GUMUSDOVEN-ELBISTAN (KAHRAMANMARAS),1.4,6.0,,,,2024-03-19 04:19:59,1710818399,Europe/Istanbul
